Row ID,Order ID,Order Date,Ship Date,Delivery Time,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Discount ($),Net Sales,COGS,Profit,Target Profit
7181,CA-2018-106054,1/6/20,1/7/20,1.0,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,0.0,261.96,220.0464,41.9136,50.28027134
7981,CA-2018-103800,1/3/20,1/7/20,4.0,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,0.0,731.94,512.358,219.582,223.835267
740,CA-2018-112326,1/4/20,1/8/20,4.0,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036.0,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,0.0,14.62,7.7486,6.8714,6.028206974
741,CA-2018-112326,1/4/20,1/8/20,4.0,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,430.909875,526.667625,909.698625,-383.031,-283.1512098
742,CA-2018-112326,1/4/20,1/8/20,4.0,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,4.4736,17.8944,15.378,2.5164,2.330675864
5328,CA-2018-130813,1/6/20,1/8/20,2.0,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,0.0,48.86,34.6906,14.1694,15.85714251
7475,CA-2018-167199,1/6/20,1/10/20,4.0,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,0.0,7.28,5.3144,1.9656,1.526187611
7476,CA-2018-167199,1/6/20,1/10/20,4.0,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,181.4304,725.7216,635.0064,90.7152,88.75699219
7477,CA-2018-167199,1/6/20,1/10/20,4.0,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,3.7008,14.8032,9.0207,5.7825,7.100254616
7478,CA-2018-167199,1/6/20,1/10/20,4.0,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,0.0,114.9,80.43,34.47,35.56005343
